2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=34 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=35 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=36 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=37 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=38 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=39 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=40 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=41 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=42 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=43 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=44 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=45 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=46 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=47 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=48 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=49 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=50 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=51 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=52 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=53 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=54 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=55 Enable=0.

